age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
29,15,"iap","female","white",1,5107.5,"IAP, DK, NA, uncodeable"
49,11,5,"male","other",.i,8512.5,13.6
28,17,14,"female","white",3,17025,39.8
48,12,10,"female","white",.i,"IAP",32
24,12,4,"female","white",.75,"IAP",21.4
51,15,"iap","female","other",16,4086,"IAP, DK, NA, uncodeable"
42,16,12,"female","white",.75,30645,28.4
44,17,20,"male","black",4,"IAP",84.5
33,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
29,12,12,"male","white",1,17025,61.4
48,17,16,"female","white",15,37455,31.3
62,10,12,"female","white",15,14755,33.7
88,12,10,"female","white",.i,"IAP",64.2
65,18,14,"male","white",35,37455,57.8
28,13,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
58,14,12,"female","white",32,17025,59.8
26,13,9,"male","white",10,20430,37.6
61,13,12,"female","white",10,12485,46.5
30,13,"iap","female","white",9,17025,"IAP, DK, NA, uncodeable"
22,14,20,"female","white",.25,"IAP",45.4
24,12,12,"female","other",5,"IAP",37.6
29,12,"iap","male","other",10,20430,"IAP, DK, NA, uncodeable"
70,13,7,"male","white",.i,"IAP",31.4
34,16,"iap","male","white",.n,"IAP","IAP, DK, NA, uncodeable"
66,12,14,"male","white",.i,"IAP",76.3
84,12,"dk","female","white",.i,"IAP",20.7
37,16,16,"male","white",15,151050.7214,61.2
61,14,12,"female","white",.i,2951,32
58,12,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
88,10,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
80,1,0,"female","other",.i,"IAP",14
36,12,12,"male","other",14,14755,19.6
33,16,12,"female","white",.25,"IAP",26.8
81,16,8,"male","white",.i,"IAP",65.3
31,12,8,"male","other",10,30645,27
69,16,16,"female","white",.i,"IAP",76.3
26,16,19,"male","white",.75,6242.5,75.5
45,16,12,"male","white",.75,30645,32
54,16,12,"female","white",10,"IAP",51.5
61,16,12,"female","white",.i,14755,73.9
19,13,18,"male","white",.i,"IAP",62.9
58,16,6,"male","white",7,37455,65.3
50,14,4,"female","white",29,37455,45.4
36,16,12,"male","black",2,30645,57.4
27,12,"iap","female","white",.75,17025,"IAP, DK, NA, uncodeable"
51,12,5,"male","other",5,20430,33.9
48,18,6,"male","white",.75,"IAP",26.8
29,14,4,"female","white",.25,8512.5,24.6
65,19,16,"female","white",1,6242.5,86.8
67,16,16,"female","white",.i,24970,73.9
53,16,13,"male","white",.75,45400,71.6
45,18,18,"male","white",6,151050.7214,50
36,15,12,"female","white",2,6242.5,36.2
60,12,12,"male","white",27,45400,46
63,16,10,"female","black",45,24970,42.8
52,12,14,"female","white",23,30645,39.1
34,13,14,"male","white",1,17025,59.1
58,14,12,"male","white",1,17025,39.7
63,12,12,"male","white",.i,54480,67.7
71,16,12,"female","white",.i,"IAP",26.8
67,12,12,"female","white",.i,"IAP",60.4
65,18,12,"female","white",.i,63560,39.9
39,15,"iap","female","white",4,20430,"IAP, DK, NA, uncodeable"
46,12,12,"female","white",.25,"IAP",36.4
83,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
59,17,12,"male","white",23,54480,68.6
